Plot_row,Plot_col,Grid_row,Grid_col,Variety,Plot_No,Join_key,20190703,20190713,20190723,20190727,20190802,20190807,20190815,20190912,20190918,20190927,20191004,20191010,20191014,20191022
row-1,1,1,1,DP1646,401,DP1646401,0.974443832,2.87484857,7.839326207,12.46093032,18.24324324,23.97735573,29.26862673,21.45402379,7.311768245,6.508549366,13.11445674,2.137341423,0.018510806,0.027956388
row-1,1,2,1,DP1646,401,DP1646401,7.152050009,29.27499767,44.64024836,49.71042471,57.30832874,65.61155074,71.19704164,40.83483734,14.53851811,16.74480603,35.55695689,21.15278544,0.138831043,0.070369675
row-1,1,3,1,DP1646,401,DP1646401,6.432504975,25.67448748,42.2160336,46.47552958,49.01387874,54.28688824,53.86687363,29.74223703,9.847748623,16.65449233,39.22093234,22.87644788,0.223651104,0.130463144
row-1,1,4,1,DP1646,401,DP1646401,8.422416586,29.80150964,44.40279513,48.7536523,50.49306063,57.23478581,54.22753835,35.1844139,14.29034199,13.00790587,40.00639153,26.13262992,0.268406682,0.078670924
row-1,1,5,1,DP1646,401,DP1646401,9.028645472,30.3699562,44.19930134,46.24726077,50.2100073,54.06318481,53.44685902,40.7098894,12.87426535,14.93359248,44.4449483,26.94710537,0.435003934,0.083869164
row-1,1,6,1,DP1646,401,DP1646401,8.089222083,30.04379834,44.96439007,47.99389143,49.54035668,54.69943079,55.61997809,34.05988246,12.98032727,16.13403944,40.63123526,27.30740945,0.657133602,0.060572174
row-1,1,7,1,DP1646,401,DP1646401,7.78379379,28.47824061,41.90108476,44.41654492,45.95051132,51.76680058,51.18243243,32.00981073,16.49312786,19.19930134,39.62905859,26.84441198,0.30286087,0.149100736
row-1,1,8,1,DP1646,401,DP1646401,10.71775649,31.05650423,46.1895569,49.24158853,52.68900657,57.706355,56.96676406,34.77717618,15.9516868,16.37249494,43.05278433,28.713918,0.374843815,0.16307893
row-1,1,9,1,DP1646,401,DP1646401,6.412024269,29.11657814,44.82901269,46.81467181,50.44585402,56.16381688,58.09441198,31.9265121,10.47986762,13.53634039,33.93540831,15.8255194,0.166597251,0.09318796
row-1,1,10,1,DP1646,401,DP1646401,8.570503031,27.55676487,41.5885273,45.27946314,49.15997078,52.24159971,55.83455077,41.39478921,21.89281118,18.78102592,37.16216216,20.06802721,0.171224953,0.065231572
row-1,1,11,1,DP1646,401,DP1646401,7.890230922,26.55837845,42.47104247,44.59459459,50.35609934,54.85756026,55.84368152,48.73895136,30.78809755,20.75420015,41.8420098,19.24661021,0.05629574,0.037275184
row-1,1,12,1,DP1646,401,DP1646401,6.196492202,25.66523208,44.32340504,47.16490139,52.6068298,57.94831994,58.81117604,39.0716831,16.97440881,18.86835815,38.49990931,20.64417604,0.087926327,0.055912776
row-1,1,13,1,DP1646,401,DP1646401,5.570876999,24.21185964,41.85052399,44.33337961,49.41106647,54.92277992,57.82048941,34.87898561,15.6277477,19.71869829,40.58135317,20.57013282,0.088528562,0.111825552
row-1,1,14,1,DP1646,401,DP1646401,4.798926373,23.52064113,41.7539989,43.06519357,47.08126494,51.95398101,52.2233382,31.77379795,10.92600305,14.42202337,34.34609106,18.62216947,0.120320237,0.013978194
