FID,CC210326,CC210407,CC210419,CC210429,CC210505,CC210513,CC210520,CC210527
3775,0,2.279188315,26.80079256,51.9469593,52.91137858,67.18435293,81.46436866,81.20645398
3776,0,1.449612783,24.98948331,47.46410608,49.35291613,64.73161203,77.3085972,77.04146652
3777,0,1.029923537,25.77129935,52.1621704,52.49346226,64.94333762,73.40117345,73.64442
3778,0,1.433682972,26.18015546,50.64951651,54.65674974,68.67007207,80.56318008,79.96029801
3779,0,4.077418881,38.61545496,59.9189148,62.88937542,74.53810132,84.87470969,84.75430876
3780,0,3.855014214,35.16929471,58.0984606,60.45672931,72.27183382,82.36937555,82.09918145
3781,0,2.850823449,32.13351623,58.11553117,61.10133709,74.6833216,83.57535754,83.68414619
3782,0,3.807837467,29.03886603,54.31490604,57.89819376,70.92322066,81.06435644,81.09560337
3783,0,9.976963043,43.93594915,63.90367322,64.28875509,74.97270014,84.11074441,84.25070285
3784,0.00612685,10.14116263,48.38652644,67.35558604,68.26360746,78.51986217,86.96818939,86.94919616
3785,0,12.13912852,53.48574912,70.16247523,71.89868029,82.40978912,91.20706515,91.28700618
3786,0.00245074,12.16057249,50.95037282,69.98079561,71.50580794,81.11577568,89.2761739,89.12480137
3787,0,14.61927752,53.72900472,69.38454053,71.38549831,79.71862943,87.72460579,87.94909813
3788,0,11.96206254,55.29583905,72.13961286,75.06963449,83.05163921,91.45120576,91.00660066
3789,0.00122537,12.61089599,53.8247158,70.06553879,71.85489266,81.43891017,89.49639408,89.41647878
3790,0,10.87270856,48.04816339,68.3127572,69.13962969,79.43835085,87.90988629,87.29128468
3791,0,8.26671556,45.16689529,69.25925926,71.0022502,79.55483026,87.11404474,86.41738555
3792,0,8.996054308,49.29592959,70.12955342,70.66654503,78.84806717,85.3592785,84.90649065
3793,0.00122537,8.497328693,48.22435604,70.96113397,72.58001893,81.34388119,88.50323921,88.52931085
3794,0,13.21500343,62.03688462,77.96738302,80.02554278,87.17209833,93.64890697,93.68231268
3795,0.00367611,20.19409862,69.43344334,80.5327495,81.86462324,88.52981145,94.8569857,94.67699245
3796,0,23.39844133,69.22176497,81.45160799,82.90300662,89.48287995,95.36565043,95.06111722
3797,0.000612685,26.25416626,71.50129553,81.40710258,81.89563948,88.76277027,94.14130302,93.61153318
3798,0.00612685,21.94453975,70.6735118,80.50723975,82.00389223,89.1322284,93.97608078,93.42011979
3799,0,17.98230566,68.97789971,82.55488658,84.44453881,91.39816335,95.76213177,95.61991471
3800,0.00245074,21.20747966,70.47889041,82.88248743,84.03332725,90.33342231,96.1486619,95.36486982
3801,0,21.30428389,74.28676201,83.88233501,84.77163535,89.35972724,95.29947439,94.8344525
3802,0.000612685,18.84986766,72.8456028,82.58192349,83.66436943,88.29927928,93.3897412,93.58208043
3803,0,15.37165474,68.61636946,83.10405644,83.52976951,88.35327234,90.84525119,90.97943829
3804,0,9.396750319,61.7430632,86.52766347,86.10350909,93.62578563,96.40782766,96.35558
3805,0,7.881580237,58.22648986,81.73875934,81.03084278,90.25576937,93.72020535,93.36033232
3806,0,7.036074895,47.88050602,80.40481634,78.8949705,87.74721541,91.29925988,91.20400929
3807,0,6.466890501,48.60713849,80.78696102,78.5361552,89.51139314,91.96919692,91.94257916
3808,0,6.696647388,48.97180308,76.89315653,76.86670388,87.57310296,90.68289874,90.50116123
3809,0,5.437579649,47.08367627,79.91586648,79.54327069,91.03290543,93.78010023,93.86334673
3810,0.00122537,5.545412214,39.78853441,71.47020271,72.65949036,88.28620081,91.64726497,91.66055494
3811,0,3.133271248,40.64014632,75.50811896,76.26004028,90.65738067,92.91712505,92.90020586
3812,0,3.26867464,37.16628563,72.64319463,76.03843581,91.9350142,94.41660131,94.72191664
3813,0.00245074,5.152068425,40.01527931,74.10028959,72.86808976,93.21204106,94.81848185,95.41343986
3814,0.000612685,6.642731105,44.85901539,73.12117055,73.25462884,88.77308355,91.12341927,91.28590637
3815,0,5.837050289,48.97119342,81.43465304,80.88305054,92.69698367,94.44199976,94.33817763
3816,0,7.074061367,52.24789146,84.02499619,83.11135438,91.7032687,93.03070777,93.40178462
3817,0.00122537,9.972061563,59.42752629,88.98826398,87.39535053,94.01587032,95.32025425,95.04950495
3818,0,10.45301931,66.81054717,91.54214297,91.02718482,95.11999806,96.19093716,95.95403985
