row,col,rep,line,grid,entry,name,breeder,irrigation,20160407,20160412,20160415,20160427,20160506,20160516,20160520,20160523,20160527,20160531,20160602,20160607,20160614,20160617,20160620,20160623,20160627,20160630,20160713,20160716,20160719,20160721,20160725,20160728,20160802,20160808,20160812,20160818
1,1,0,2,6,F,PHY_499,Filler,No,-0.014672,-0.001226,-0.004747,-0.004948,0.026334,0.087129,0.127162,0.182132,0.149848,0.206781,0.34897,0.338639,0.534707,0.480246,0.500236,0.488344,0.460826,0.475689,0.428669,0.399043,0.254749,0.293769,0.161849,0.229475,0.15847,0.065487,-0.037372,-0.029653
1,1,0,2,7,F,PHY_499,Filler,No,-0.018171,-0.005685,-0.005757,0.004758,0.059879,0.13324,0.160631,0.213575,0.169758,0.25183,0.399181,0.417993,0.51327,0.486555,0.535946,0.535583,0.488362,0.474347,0.438836,0.471138,0.322655,0.374107,0.247557,0.287692,0.185003,0.084953,-0.033295,-0.042816
1,1,0,2,8,F,PHY_499,Filler,No,-0.016543,0.000423,-0.006161,0.003905,0.026191,0.100163,0.134648,0.170692,0.139225,0.227011,0.331141,0.354502,0.507946,0.481823,0.461069,0.467937,0.430846,0.458518,0.438869,0.434928,0.323986,0.391783,0.229767,0.272682,0.157309,0.083649,-0.032642,-0.039286
1,1,0,2,9,F,PHY_499,Filler,No,-0.017043,0.004439,-0.004434,-7.3E-5,0.025764,0.099054,0.116702,0.153536,0.155023,0.222596,0.317895,0.353149,0.464349,0.458371,0.44984,0.4654,0.458582,0.435732,0.402382,0.376408,0.317201,0.371842,0.250265,0.248863,0.14952,0.055248,-0.027363,-0.027203
1,1,0,2,10,F,PHY_499,Filler,No,-0.01604,0.003442,-0.008834,-0.004409,-0.007451,0.031504,0.038878,0.062392,0.043471,0.108405,0.208746,0.156473,0.355312,0.334214,0.312572,0.364501,0.317507,0.386534,0.370378,0.346387,0.275764,0.350093,0.214209,0.221206,0.15129,0.02203,-0.016555,-0.030857
1,2,0,1,1,F,PHY_499,Filler,No,-0.03219,-0.003026,-0.009302,-0.00639,0.036464,0.115688,0.149843,0.211937,0.186618,0.264146,0.400977,0.360417,0.436556,0.544331,0.504343,0.546798,0.480747,0.4943,0.426179,0.419408,0.302327,0.339163,0.278837,0.330054,0.234863,0.138379,-0.033407,-0.059034
1,2,0,1,2,F,PHY_499,Filler,No,-0.032043,-0.00066,-0.008707,-0.006459,0.029702,0.14854,0.168189,0.229964,0.193931,0.266278,0.395244,0.419177,0.503014,0.554215,0.493747,0.554022,0.497359,0.487252,0.461297,0.437348,0.286267,0.318837,0.233336,0.264714,0.202617,0.08052,-0.042577,-0.056388
1,2,0,1,3,F,PHY_499,Filler,No,-0.027999,0.000511,-0.008504,-0.01132,0.018093,0.118805,0.153515,0.224554,0.189004,0.276806,0.424865,0.406508,0.51123,0.542423,0.524144,0.560816,0.503709,0.525178,0.488643,0.439346,0.308842,0.3655,0.256857,0.296782,0.197758,0.071884,-0.050745,-0.053686
1,2,0,1,4,F,PHY_499,Filler,No,-0.02351,-0.001576,-0.006376,-0.007099,0.034253,0.121901,0.168759,0.234669,0.211092,0.266808,0.411362,0.471947,0.560885,0.56538,0.518876,0.521074,0.49588,0.489815,0.45925,0.44632,0.312586,0.366086,0.264841,0.290953,0.218268,0.109688,-0.050166,-0.036638
1,2,0,1,5,F,PHY_499,Filler,No,-0.025273,-0.006139,-0.009454,-0.008412,0.011703,0.051409,0.099671,0.140407,0.113479,0.183235,0.292475,0.421146,0.54808,0.510626,0.50543,0.523437,0.486473,0.493984,0.473276,0.452067,0.332668,0.35803,0.261089,0.290891,0.216932,0.088976,-0.02586,-0.027467
1,2,0,1,6,F,PHY_499,Filler,No,-0.019107,-0.003797,-0.007222,-0.008944,0.012816,0.074804,0.103216,0.172176,0.135403,0.216363,0.288114,0.44598,0.5096,0.463691,0.518779,0.519522,0.493024,0.489388,0.465211,0.399006,0.33056,0.354931,0.265865,0.302069,0.225818,0.11344,-0.048149,-0.036786
1,2,0,1,7,F,PHY_499,Filler,No,-0.019798,-0.008455,-0.008662,0.000174,0.035029,0.129854,0.138743,0.208195,0.184058,0.24889,0.374964,0.434394,0.519734,0.460911,0.519279,0.510214,0.430594,0.493201,0.428214,0.449339,0.334057,0.334857,0.238498,0.260785,0.167584,0.064077,-0.03052,-0.039979
1,2,0,1,8,F,PHY_499,Filler,No,-0.018417,-0.010499,-0.004855,-0.000356,0.020035,0.093106,0.097437,0.129956,0.127816,0.189535,0.29323,0.368601,0.534706,0.45441,0.472699,0.494246,0.429967,0.453497,0.415476,0.427707,0.327998,0.354965,0.228291,0.277753,0.168398,0.0802,-0.036597,-0.036511
1,2,0,1,9,F,PHY_499,Filler,No,-0.020736,-0.0025,-0.002145,-0.004198,0.010387,0.089129,0.086874,0.133481,0.126348,0.196237,0.260772,0.361316,0.411202,0.477054,0.455923,0.476018,0.455575,0.44802,0.404794,0.421843,0.362289,0.398744,0.317606,0.320975,0.218854,0.10787,-0.017055,-0.0264
1,2,0,1,10,F,PHY_499,Filler,No,-0.017706,0.001433,-0.005043,-0.002793,0.005531,0.067065,0.072011,0.094286,0.077341,0.126933,0.258681,0.199012,0.358816,0.41006,0.440801,0.462744,0.415764,0.424488,0.365658,0.366558,0.303215,0.32388,0.248932,0.231406,0.1342,0.047029,-0.017766,-0.019526
1,2,0,2,1,F,PHY_499,Filler,No,-0.028322,-0.003142,-0.017449,-0.006729,-0.005325,0.023889,0.050572,0.099005,0.082298,0.181173,0.270261,0.313277,0.445814,0.464333,0.452417,0.463723,0.45564,0.45353,0.420446,0.429981,0.305044,0.36577,0.360566,0.388024,0.267848,0.183831,-0.020279,-0.029743
1,2,0,2,2,F,PHY_499,Filler,No,-0.030514,-0.004658,-0.012087,-0.007391,0.011717,0.081457,0.113248,0.159115,0.14224,0.224615,0.335386,0.406888,0.468773,0.470671,0.436617,0.426919,0.455198,0.423984,0.415379,0.414483,0.238807,0.309745,0.236573,0.277025,0.203582,0.096072,-0.051547,-0.037478
