Plotrow,Plotcol,Gridrow,Gridcol,Variety,Plot_No,Join_key,20190703,20190713,20190723,20190727,20190802,20190807,20190815,20190912,20190918,20190927,20191004,20191010,20191014,20191022
row-1,1,1,1,DP1646,401,DP1646401,0.087431237,0.024456678,0.114273563,0.147394061,0.194181368,0.2384056,0.324333042,0.246629566,0.157740027,0.216598883,0.211444557,0.095553167,0.125850573,0.116221651
row-1,1,2,1,DP1646,401,DP1646401,0.093843892,0.051333331,0.32915765,0.365213692,0.496838093,0.582526445,0.697972596,0.482962221,0.383880824,0.412997872,0.485266179,0.401656806,0.307023674,0.248303548
row-1,1,3,1,DP1646,401,DP1646401,0.082650974,0.043123558,0.295134127,0.315483361,0.399207741,0.420694292,0.476889223,0.311513126,0.260824382,0.307697386,0.366552085,0.318529367,0.223991811,0.179729268
row-1,1,4,1,DP1646,401,DP1646401,0.059394106,0.046129856,0.305253446,0.322209448,0.419651657,0.455876887,0.525943577,0.458383083,0.431220978,0.326843888,0.40683341,0.400747567,0.254544109,0.2209443
row-1,1,5,1,DP1646,401,DP1646401,0.056730732,0.043064687,0.319168329,0.32874316,0.428190112,0.518494189,0.629309297,0.518421292,0.407224208,0.355353266,0.458994567,0.438695759,0.282548547,0.265749335
row-1,1,6,1,DP1646,401,DP1646401,0.052400649,0.042842828,0.364970952,0.371210873,0.481152147,0.596467972,0.615101278,0.509992838,0.390848547,0.456512332,0.532588005,0.570104897,0.346089423,0.26762259
row-1,1,7,1,DP1646,401,DP1646401,0.054557409,0.038984664,0.361944973,0.357878506,0.471171856,0.547205687,0.632438183,0.478366196,0.400178522,0.449245781,0.519389927,0.580951929,0.367727906,0.285976112
row-1,1,8,1,DP1646,401,DP1646401,0.061567213,0.044071551,0.474663109,0.459990859,0.59808594,0.679135501,0.720859647,0.580909967,0.445540339,0.55273813,0.644744277,0.683702052,0.466780365,0.314736843
row-1,1,9,1,DP1646,401,DP1646401,0.054278035,0.039523691,0.423195153,0.422495246,0.558047652,0.64830786,0.711418033,0.496126771,0.385621071,0.514585972,0.546293378,0.572773933,0.368297726,0.28386879
row-1,1,10,1,DP1646,401,DP1646401,0.056435376,0.035585824,0.411919147,0.426986992,0.556549191,0.64656508,0.712473869,0.56261003,0.526772439,0.532416344,0.595590651,0.558502734,0.457142353,0.362030834
row-1,1,11,1,DP1646,401,DP1646401,0.056262776,0.035210729,0.421417773,0.432343185,0.591726363,0.675403118,0.723065317,0.630871177,0.57264173,0.56251812,0.60999459,0.582483351,0.45791024,0.37515229
row-1,1,12,1,DP1646,401,DP1646401,0.061351649,0.032942586,0.407498449,0.406150401,0.544986188,0.613682449,0.685012758,0.510005653,0.40591538,0.498340368,0.513677001,0.513319135,0.35586229,0.29575488
row-1,1,13,1,DP1646,401,DP1646401,0.054495253,0.029728446,0.392608166,0.406510979,0.557425618,0.630213737,0.709387064,0.573019683,0.424453467,0.475676775,0.598689675,0.565984488,0.370059609,0.343721598
row-1,1,14,1,DP1646,401,DP1646401,0.057547953,0.028516917,0.347339213,0.35090363,0.467691243,0.506795824,0.602229178,0.430472374,0.370592594,0.37860027,0.50057286,0.455795139,0.292165786,0.270215601
row-1,1,15,1,DP1646,401,DP1646401,0.05975752,0.035034895,0.357906014,0.355078101,0.46661225,0.529488623,0.597408593,0.403942883,0.360358536,0.382589757,0.442411751,0.414838463,0.307859004,0.278162867
row-1,1,16,1,DP1646,401,DP1646401,0.059260115,0.032082006,0.356425762,0.374297708,0.528524756,0.58477968,0.654795289,0.545089781,0.468164772,0.468700618,0.544079363,0.481132597,0.342150211,0.296474695
row-1,1,17,1,DP1646,401,DP1646401,0.056689564,0.034109071,0.367099941,0.369676501,0.501372576,0.585557997,0.645728886,0.537660301,0.449754566,0.450754642,0.536049724,0.463623673,0.365058511,0.315363556
row-1,1,18,1,DP1646,401,DP1646401,0.059159745,0.035455462,0.388627857,0.406880081,0.562132895,0.630879998,0.710992634,0.576268137,0.47447601,0.499820501,0.605560899,0.564858258,0.394165158,0.405691952
row-1,1,19,1,DP1646,401,DP1646401,0.058080509,0.031480201,0.353081077,0.382765591,0.553447306,0.646074474,0.694126368,0.602206588,0.550651371,0.531957984,0.633140266,0.572816312,0.418587655,0.372322857
row-1,1,20,1,DP1646,401,DP1646401,0.052367736,0.03111526,0.395348519,0.432094127,0.621913433,0.677595198,0.706988752,0.598574936,0.504642308,0.517838478,0.604762197,0.575112581,0.399448067,0.318637758
row-1,1,21,1,DP1646,401,DP1646401,0.053605299,0.036658227,0.381846696,0.407547504,0.538864195,0.60288322,0.664201915,0.551656127,0.495530665,0.452867001,0.515631795,0.512806535,0.345809221,0.344090641
row-1,1,22,1,DP1646,401,DP1646401,0.058150399,0.039437667,0.4116292,0.39189598,0.544938445,0.599812627,0.64621067,0.53087008,0.468833864,0.516395867,0.587014437,0.51853627,0.377524644,0.330238402
row-1,1,23,1,DP1646,401,DP1646401,0.060554255,0.03502214,0.369919091,0.381965965,0.509036779,0.581199408,0.657646656,0.5459162,0.443685502,0.51183629,0.609325647,0.551476777,0.404276103,0.311044127
row-1,1,24,1,DP1646,401,DP1646401,0.061530277,0.036408097,0.359878063,0.362193674,0.492331177,0.563791215,0.65670526,0.52321744,0.446518481,0.506384075,0.596396863,0.555157065,0.371803492,0.326546192
row-1,1,25,1,DP1646,401,DP1646401,0.058950733,0.033166125,0.344886959,0.356045991,0.471121788,0.559202313,0.636744082,0.478302628,0.378515422,0.374112636,0.4973481,0.470822811,0.321531355,0.281760603
