Plot row,Plot col,Grid row,Grid col,Variety,Plot No,Join key,20190703,20190713,20190723,20190727,20190802,20190807,20190815,20190912,20190918,20190927,20191004,20191010,20191014,20191022
row-1,1,1,1,DP1646,401,DP1646401,0.974443831586689,2.874848569564812,7.839326206673146,12.460930318073176,18.243243243243242,23.977355734112489,29.268626734842950,21.454023786385299,7.311768244712852,6.508549365692224,13.114456738617813,2.137341423055709,0.018510805682817,0.027956388034666
row-1,1,2,1,DP1646,401,DP1646401,7.152050009192866,29.274997670300994,44.640248356464575,49.710424710424711,57.308328736900158,65.611550742746090,71.197041636230836,40.834837336295060,14.538518109946683,16.744806030520316,35.556956893833615,21.152785438499723,0.138831042621130,0.070369675361231
row-1,1,3,1,DP1646,401,DP1646401,6.432504974779027,25.674487482067658,42.216033601168732,46.475529583637694,49.013878743608473,54.286888239590944,53.866873630387147,29.742237030866768,9.847748623258827,16.654492330168004,39.220932341737715,22.876447876447877,0.223651104277327,0.130463144161774
row-1,1,4,1,DP1646,401,DP1646401,8.422416585681892,29.801509644953871,44.402795131658110,48.753652300949597,50.493060628195764,57.234785806214376,54.227538349159978,35.184413901615066,14.290341987134990,13.007905865048722,40.006391526661794,26.132629922717388,0.268406682400851,0.078670924151974
row-1,1,5,1,DP1646,401,DP1646401,9.028645471794160,30.369956201658745,44.199301342158485,46.247260774287803,50.210007304601902,54.063184806428055,53.446859021183343,40.709889397936045,12.874265352399464,14.933592484612893,44.444948304008705,26.947105372761349,0.435003933546208,0.083869164103998
row-1,1,6,1,DP1646,401,DP1646401,8.089222083391180,30.043798341254309,44.964390065741419,47.993891434124670,49.540356683213830,54.699430792725259,55.619978086194301,34.059882456383917,12.980327266041552,16.134039444850256,40.631235262107744,27.307409450266597,0.657133601740016,0.060572174075109
row-1,1,7,1,DP1646,401,DP1646401,7.783793789624694,28.478240611313016,41.901084758227611,44.416544923301679,45.950511322132940,51.766800584368156,51.182432432432435,32.009810727011896,16.493127863390253,19.199301342158485,39.629058588790130,26.844411979547118,0.302860870375547,0.149100736184885
row-1,1,8,1,DP1646,401,DP1646401,10.717756490351242,31.056504234346800,46.189556903842615,49.241588527302817,52.689006574141708,57.706355003652298,56.966764061358653,34.777176176593088,15.951686797167847,16.372494943923517,43.052784327952118,28.713917999632287,0.374843815077051,0.163078930202218
row-1,1,9,1,DP1646,401,DP1646401,6.412024269167127,29.116578138104561,44.829012686155544,46.814671814671819,50.445854017282585,56.163816878102594,58.094411979547111,31.926512101439215,10.479867622724766,13.536340394448503,33.935408314940766,15.825519396947968,0.166597251145356,0.093187960115553
row-1,1,10,1,DP1646,401,DP1646401,8.570503031144430,27.556764871458061,41.588527302813020,45.279463136605997,49.159970781592406,52.241599707815922,55.834550766983206,41.394789208200287,21.892811178525466,18.781025923883064,37.162162162162161,20.068027210884352,0.171224952566060,0.065231572080887
row-1,1,11,1,DP1646,401,DP1646401,7.890230922300893,26.558378453422186,42.471042471042466,44.594594594594597,50.356099342585821,54.857560262965663,55.843681519357190,48.738951362858067,30.788097551945949,20.754200146092039,41.842009795029931,19.246610208709335,0.056295740288985,0.037275184046221
